case_id,field,gt,pred
c14_鮮乳,name,瑞穗極制低溫殺菌鮮乳,瑞穗極製低溫殺菌鮮乳
c15_木瓜牛乳,ingredients_list,"['水', '濃縮木瓜汁', '蔗糖', '全脂乳粉', '脫脂乳粉', '鮮乳油', '羧甲基纖維素鈉', '小蘇打', '香料', '脂肪酸甘油酯', '複方β-胡蘿蔔素(甘油、水、β-胡蘿蔔素、抗氧化劑(L-抗壞血酸棕櫚酸酯、維生素E)、葵花卵磷脂)']","['水', '濃縮木瓜汁', '蔗糖', '全脂乳粉', '脫脂乳粉', '鮮乳油', '羧甲基纖維素鈉', '小蘇打', '香料', '脂肪酸甘油酯', '複方β-胡蘿蔔素(甘油、水、β-胡蘿蔔素、抗氧化劑(L-抗壞血酸棕櫚酸酯、維生素E))', '葵花卵磷脂']"
c17_三合一咖啡,brand,貝納頌,Bernachon 貝納頌
c17_三合一咖啡,ingredients_list,"['奶精(葡萄糖漿、氫化棕櫚仁油、乾酪素鈉、檸檬酸鉀、脂肪酸甘油酯、二氧化矽)', '砂糖', '咖啡粉', '香料', '小蘇打']","['奶精', '葡萄糖漿', '氫化棕櫚仁油', '乾酪素鈉', '檸檬酸鉀', '脂肪酸甘油酯', '二氧化矽', '砂糖', '咖啡粉', '香料', '小蘇打']"
c24_優質蛋白奶-堅果杏仁,name,in果凍(綜合礦物質),優質蛋白奶-堅果杏仁
c24_優質蛋白奶-堅果杏仁,brand,in果凍,光泉
c24_優質蛋白奶-堅果杏仁,manufacturer,台灣森永製菓股份有限公司,光泉牧場股份有限公司
c24_優質蛋白奶-堅果杏仁,allergy_warning,本產品生產設備亦生產含牛奶、大豆類等相關產品。,本產品含花生、堅果類、含麩質之穀物及大豆製品，對其過敏者不宜食用。該產線亦生產含芒果、芝麻、牛奶、蛋、堅果類、含麩質之穀物及大豆製品。
c24_優質蛋白奶-堅果杏仁,ingredients_list,"['水', '蔗糖', '異麥芽糊精', '甜味劑(赤藻糖醇、醋磺內酯鉀、蔗糖素)', '乳酸鈣', '紅葡萄果汁', '硫酸鎂', '胺基乙酸', 'DL-蘋果酸', '香料(含醋酸、甘油)', '檸檬酸', '結蘭膠', '三仙膠', '氯化鉀', '葡萄糖酸鋅', '葡甘露聚糖', '焦磷酸鐵(含澱粉水解物、氯化鈉、卵磷脂)', '檸檬酸鈉', '矽樹脂', '糊精', '葡萄糖酸銅']","['水', '非基因改造黃豆', '蔗糖', '花生醬(特選花生仁)', '杏仁醬(杏仁果)', '大豆蛋白(含大豆卵磷脂)', '燕麥粉', '香料', '脂肪酸甘油酯(含檸檬酸)', '食鹽', '維生素E(抗氧化劑)']"
c24_優質蛋白奶-堅果杏仁,nutrition.calories,22,63.0
c24_優質蛋白奶-堅果杏仁,nutrition.protein,0,3.8
c24_優質蛋白奶-堅果杏仁,nutrition.fat,0,2.6
c24_優質蛋白奶-堅果杏仁,nutrition.carbohydrates,8.1,6.1
c24_優質蛋白奶-堅果杏仁,nutrition.sodium,6,26.0
c24_優質蛋白奶-堅果杏仁,per_serving.calories,39,236.6
c24_優質蛋白奶-堅果杏仁,per_serving.protein,0,14.2
c24_優質蛋白奶-堅果杏仁,per_serving.fat,0,9.8
c24_優質蛋白奶-堅果杏仁,per_serving.saturated_fat,0,1.5
c24_優質蛋白奶-堅果杏仁,per_serving.carbohydrates,14.6,22.9
c24_優質蛋白奶-堅果杏仁,per_serving.sugar,8.1,18.4
c24_優質蛋白奶-堅果杏仁,per_serving.sodium,11,98.0
c24_優質蛋白奶-堅果杏仁,serving_size,180,375
c25_優質蛋白奶-無加糖燕麥,name,優質蛋白奶-無加糖燕麥,光泉優質蛋白奶-無加糖燕麥
c25_優質蛋白奶-無加糖燕麥,allergy_warning,本產品含麩質之穀物及大豆製品，對其過敏者不宜食用。該生產線亦生產含芒果、花生、芝麻、牛奶、蛋、堅果類、含麩質之穀物及大豆製品。,本產品含麩質之穀物及大豆製品，對其過敏者不宜飲用。該產線亦生產含芒果、花生、芝麻、牛奶、堅果類、含麩質之穀物及大豆製品。
c25_優質蛋白奶-無加糖燕麥,ingredients_list,"['水', '非基因改造黃豆', '燕麥粉', '大豆蛋白(含大豆卵磷脂)', '米蛋白', '豌豆蛋白', '香料']","['水', '非基因改造黃豆', '燕麥粉', '大豆蛋白(含大豆卵磷脂)', '水蛋白', '豌豆蛋白', '香料']"
c26_冰鎮芭樂綠茶,allergy_warning,該生產線亦生產含堅果類、大豆、奶類、含麩質之穀物及其製品,該產線亦生產含堅果類、大豆、奶類、含麩質之穀物及其製品
c27_冰鎮葡萄鮮冰茶,brand,冰鎮,泰山
c27_冰鎮葡萄鮮冰茶,allergy_warning,該生產線亦生產含堅果類、大豆、奶類、含麩質之穀物及其製品,該產線亦生產含堅果類、大豆、奶類、含麩質之穀物及其製品
c29_可口可樂,name,可口可樂汽水,可口可樂
c29_可口可樂,brand,可口可樂,Coke
c29_可口可樂,manufacturer,英屬維京群島商太古可口可樂股份有限公司台灣分公司,太古可口可樂股份有限公司
c29_可口可樂,per_serving.sodium,18,0
c47_麥香奶茶,allergy_warning,本產品含麩質之穀物及牛奶製品。,過敏原資訊:本產品含麩質之穀物及牛奶製品。
c48_麥香紅茶,name,麥香紅茶,統一 麥香紅茶
c48_麥香紅茶,brand,麥香,統一
c48_麥香紅茶,allergy_warning,本產品含麩質之穀物及其製品。該生產線亦生產含牛奶製品的產品。,"過敏原資訊:本產品含麩質之穀物及其製品,該生產線亦生產含牛奶製品的產品。"
c48_麥香紅茶,ingredients_list,"['水', '蔗糖', '紅茶', '大麥', '香料', '偏磷酸鈉', '多磷酸鈉', '小蘇打', '維生素C(抗氧化劑)', '焦磷酸鈉(無水)']","['水', '砂糖', '紅茶', '大麥', '香料', '偏磷酸鈉', '多磷酸鈉', '小蘇打', '維生素C(抗氧化劑)', '焦糖酸鈉(無水)']"
c48_麥香紅茶,per_serving.protein,0.0,1.1
c48_麥香紅茶,per_serving.fat,0.0,0.8
c49_麥香綠茶,name,麥香綠茶,統一 麥香紅茶
c49_麥香綠茶,brand,麥香,統一
c49_麥香綠茶,allergy_warning,本產品含麩質之穀物及其製品，該生產線亦生產含牛奶製品的產品。,過敏原資訊：本產品含麩質之穀物及其製品，該生產線亦生產含牛奶製品的產品。
c49_麥香綠茶,ingredients_list,"['水', '蔗糖', '綠茶', '大麥', '茉莉綠茶', '維生素C(抗氧化劑)', '香料', '小蘇打']","['水', '蔗糖', '紅茶', '大麥', '茉莉綠茶', '維生素C (抗氧化劑)', '香料', '小蘇打']"
c49_麥香綠茶,nutrition.sodium,7.0,2.0
c36_滿漢大餐酸菜白肉拌麵,manufacturer,凱亞食品(股)公司,統一企業(股)公司
c36_滿漢大餐酸菜白肉拌麵,allergy_warning,本產品含麩質之穀物、蛋(來自寬麵)、奶類(來自牛肉調味醬)、芝麻、大豆及其製品。,本產品含麩質之穀物、蛋(來自寬麵)、奶類(來自牛肉調味醬)、芝麻、大豆及其製品。本產品含蠶豆。牛原料金來源: 巴拉圭。
c36_滿漢大餐酸菜白肉拌麵,ingredients_list,"['寬麵', '水', '牛肉調味醬', '調味牛肉', '酸菜', '蔥', '調味牛油', '大豆油', '酸菜風味粉', '蒜', '料理米酒', '豆瓣醬', '鬆麵油', '複方品質改良劑', '芝麻油', '辣椒']","['寬麵', '水', '牛肉', '辛卯醬', '醬油', '豆瓣醬', '糖', '食鹽', '酸菜風味粉', '蒜', '料理米酒', '白胡椒粉', '調味醬', '品質改良劑', '芝麻油', '辣椒']"
c08_椰香綠咖哩嫩雞飯,name,帕泰家-椰香綠咖哩嫩雞飯(辣),7-ELEVEN 帕泰家 椰香綠咖哩嫩雞飯 (辣)
c08_椰香綠咖哩嫩雞飯,brand,7-ELEVEN,7-ELEVEN 帕泰家
c08_椰香綠咖哩嫩雞飯,manufacturer,統一超食代(股)公司台北廠,統一超食代(股)公司
c09_麻婆豆腐燴飯,manufacturer,聯華食品工業(股)公司彰化廠,聯華食品工業(股)公司
c09_麻婆豆腐燴飯,ingredients_list,"['水', '豆腐', '白米', '豬肉', '醬油', ""辣豆瓣醬(辣椒, 黃豆, 蠶豆, 鹽, 糖, 芝麻油, 大豆油, 麵粉, 5'-次黃嘌呤核苷磷酸二鈉, 5'-鳥嘌呤核苷磷酸二鈉, 甜味劑(甘草酸鈉), 八角)"", '澱粉', '蒜', '糖', '大豆油', '豬骨高湯(豬肉, 豬骨, 洋蔥, 香芹)', '花椒辣油(大豆油, 花椒, 辣椒, 辣椒抽出物)', '陳年豆瓣醬(黃豆, 蠶豆, 鹽, 糖, 麵粉, 八角)', '芥花油', '明膠', '蔥', '雞汁(鹽, 雞肉, 糖, 軟質棕櫚油, 雞油, 麥芽糊精, 澱粉, 甜味劑(甘草酸鈉))', '醋', '品質改良劑(醋酸鈉(無水), 甘胺酸, 檸檬酸)', '調味料(麥芽糊精, 鹽, 糖, 酵母抽出物, 水解大豆蛋白, 香菇抽出物, 高麗菜抽出物)', '鹽', '芥花油', '紅椒色素', '調味料(中鏈三酸甘油酯, 麥芽糊精, 花椒, 辣椒抽出物, 鹽, D-木糖)', '調味粉(花椒, 澱粉)', '花椒萃取物']","['水', '豆腐', '白米', '豬肉', '醬油', '辣豆瓣醬(辣椒、黃豆、蠶豆、鹽、糖、芝麻油、大豆油、麵粉)', ""5'-次黃嘌呤核苷磷酸二鈉"", ""5'-鳥嘌呤核苷磷酸二鈉"", '甜味劑(甘草酸鈉)', '八角', '澱粉', '蒜', '糖', '大豆油', '豬骨高湯(豬肉、豬骨、洋蔥、香芹)', '花椒辣油(大豆油、花椒、辣椒、辣椒抽出物)', '陳年豆瓣醬(黃豆、蠶豆、鹽、糖、麵粉、八角)', '芥花油', '明膠', '蔥', '甜味劑(軟質棕櫚油、雞油、麥芽糊精、澱粉、品質改良劑(醋酸鈉(無水)、甘胺酸、檸檬酸))', '調味料(麥芽糊精、鹽、糖、酵母抽出物、水解大豆蛋白、香菇抽出物、高麗菜抽出物)', '鹽', '芥花油', '紅椒色素', '調味料(中鏈三酸甘油酯、麥芽糊精、花椒、辣椒抽出物、鹽、D-木醣)', '調味粉(花椒、澱粉)', '花椒萃取物']"
c10_鮮蔬烤雞三明治,name,紐奧良風味鮮蔬烤雞三明治,紐奧良風味鮮嫩雞腿二明治
c10_鮮蔬烤雞三明治,ingredients_list,"[""雞肉{雞肉, 糖, 辣椒, 蒜, 蔥, 胡椒, 奧勒岡葉, 百里香, 五香, 麵粉, 鹽, 卵磷脂, 甘胺酸, 5'-鳥嘌呤核苷磷酸二鈉, 5'-次黃嘌呤核苷磷酸二鈉, 紅椒色素, 甜味劑(醋磺內酯鉀), DL-丙胺酸, 蛋白粉, 芥花油, 麥芽糊精, 甘蔗多酚萃取物}"", '土司', '蘿蔓', '沙拉醬{菜籽油, 醋, 雞蛋, 麥芽糖, 味精, 芥末}', '墨西哥紅醬{蕃茄糊, 墨西哥椒, 洋蔥, 蒜粉, 辣椒萃取物, 羅望子膠}', '大豆油']","['雞肉', '糖', '辣椒', '蒜', '蔥', '胡椒', '奧勒岡葉', '百里香', '五香', '麵粉', '鹽', '卵磷脂', '甘胺酸', ""5'-次黃嘌呤核苷磷酸二鈉"", ""5'-次鳥嘌呤核苷磷酸二鈉"", '紅椒色素', '甜味劑(醋磺內酯鉀)', 'DL-丙胺酸', '蛋白粉', '芥花油', '麥芽糊精', '甘蔗多酚萃取物', '土司', '蘿蔓', '沙拉醬', '芥籽油', '醋', '雞蛋', '麥芽糖', '味精', '芥末', '墨西哥紅醬', '番茄糊', '墨西哥椒', '洋蔥', '蒜粉', '辣椒萃取物', '羅望子膠', '大豆油']"
c11_大飯糰椒香鮪魚,manufacturer,屏榮食品(股)桃園市大溪區新光東路76巷36-2號,屏榮食品(股)
c11_大飯糰椒香鮪魚,ingredients_list,"['水', '米', '正鰹', '洋蔥', '大豆油', '西洋芹', '鹽', '海苔', '雞蛋', '菜籽油', '黃豆纖維', '馬鈴薯粉', '醋', '糖', '乙醯化己二酸二澱粉', '小麥麩皮粉', '醬油', '黑胡椒粒', '葵花油', '花椒', '藤椒', '糊精', '辣椒', '胡椒', '果糖', '澱粉', '乳糖', '柴魚粉', '檸檬酸', '海藻糖', '混合濃縮生育醇(抗氧化劑)', '三仙膠', '關華豆膠', ""5'-次黃嘌呤核苷磷酸二鈉"", ""5'-鳥嘌呤核苷磷酸二鈉"", '琥珀酸二鈉', '萃取物(魚、胡蘿蔔、豌豆、花椒、辣椒、芥子)', '茶枝', '八角', '當歸', '醋酸鈉(無水)', '甘胺酸', '蛋白溶菌酶']","['水', '米', '正鰹', '洋蔥', '大豆油', '西洋芹', '鹽', '海苔', '雞蛋', '菜籽油', '黃豆纖維', '馬鈴薯粉', '蔥', '糖', '乙醯化己二酸二澱粉', '小麥麩皮粉', '醬油', '黑胡椒粒', '葵花油', '花椒', '藤椒', '糊精', '辣椒', '胡椒', '果糖', '澱粉', '乳糖', '柴魚粉', '檸檬酸', '海藻糖', '混合濃縮生育醇 (抗氧化劑)', '三仙膠', '關華豆膠', ""5'-次黃嘌呤核苷磷酸二鈉"", ""5'-鳥嘌呤核苷磷酸二鈉"", '琥珀酸二鈉', '萃取物(魚、胡蘿蔔、豌豆、花椒、辣椒、八角、當歸、醋酸鈉(無水)', '甘胺酸', '蛋白溶菌酶']"
c12_肉鬆御飯糰,name,肉鬆飯糰,FamilyMart 肉鬆飯糰
c12_肉鬆御飯糰,manufacturer,屏榮食品(股)桃園市大溪區松樹21-8號,屏榮食品(股)
c12_肉鬆御飯糰,ingredients_list,"['米', '肉鬆(豬肉、豌豆粉、糖、鹽、大豆油、醬油、芝麻、麵包粉、紅麴粉)', '美奶滋(沙拉油、蔗糖、蛋、鹽、醋、玉米糖膠、柑橘果膠)', '豬油', '海苔', '海鹽', '醋']","['米', '肉鬆(豬肉、豌豆粉、糖、鹽、大豆油、醬油、芝麻、麵包粉、紅麴粉)', '美乃滋(沙拉油、蔗糖、蛋、鹽、醋、玉米糖膠、柑橘果膠)', '豬油', '海苔', '海鹽', '醋']"
c30_吉士豬肉堡加蛋,manufacturer,聯華食品工業(股)公司基隆廠,統一超商股份有限公司 基隆廠
c30_吉士豬肉堡加蛋,allergy_warning,本產品含麩質之穀物、奶類、蛋、大豆及其製品,本產品含麩質之穀物、奶類、蛋、大豆及其製品。豬原料來源:加拿大
c30_吉士豬肉堡加蛋,ingredients_list,"['馬芬堡(麵粉, 玉米粉, 酵母, 糖, 鹽, 棕櫚油, 黃豆粉, 大豆油脂, 葵花油, 澱粉酵素)', ""豬肉餅[重組肉](豬肉, 雞肉, 水, 組織蛋白(小麥蛋白, 麵粉), 香草調味粉(鹽, 麥芽糊精, 香辛料{鼠尾草, 奧勒岡草, 辣椒, 胡椒}, 葡萄糖, 糖, 5'-次黃嘌呤核苷磷酸二鈉, 5'-鳥嘌呤核苷磷酸二鈉, 檸檬酸, 香料(豆蔻油, 芹菜香料{芹菜, 香料}), 辣椒糖{紅椒萃取物, 香料}), 紅椒油樹脂(紅椒油樹脂, 葵花油), 大豆油), 小麥纖維, 焦糖色彩, 柑橘纖維, 糖, 調味料{酵母抽出物, 柑橘抽出物})"", '雞蛋', '起司', '大豆油', '麵粉', '鹽', '複方品質改良劑{醋酸鈉(無水), 鹽, 檸檬酸, 偏磷酸鈉, 多磷酸鈉}']","['麵包', '麵粉', '水', '砂糖', '植物性酥油', '棕櫚油', '大豆油', '脂肪酸甘油酯', '脂肪酸丙二醇酯', '抗氧化劑(維生素E)', '鹽', '酵母', '乳化劑(乳酸硬脂酸鈉)', '麵粉處理劑(L-抗壞血酸)', '麥芽糊精', '澱粉酵素', '半纖維素分解酵素', '豬肉餅(重組肉)', '豬肉(加拿大)', '麵包粉', '玉米澱粉', '組織大豆蛋白', '醬油', '大豆', '小麥', '蒜粉', '洋蔥粉', '乳清蛋白', '調味劑(L-麩酸鈉)', '複方香料', '香料', '中鏈三酸甘油酯', '白胡椒粉', '黑胡椒粉', ""調味劑(5'-次黃嘌呤核苷磷酸二鈉)"", ""5'-鳥嘌呤核苷磷酸二鈉"", '品質改良劑(多磷酸鈉)', '抗氧化劑(異抗壞血酸鈉)', '雞蛋', '吉士醬', '切達起司', '粘稠劑(磷酸二澱粉)', '乙醯化己二酸二澱粉', '奶油', '檸檬酸鈉', '磷酸氫二鈉', '乳酸', 'DL-胺基丙酸', '琥珀酸二鈉', '蔗糖素(甜味劑)', '焦磷酸鈉', '偏磷酸鈉', '檸檬酸鈉(無水)', '焦磷酸鉀', 'β-胡蘿蔔素(色素)', '沙拉醬', '醋', '玉米糖膠', '番茄醬', '番茄糊', '釀造醋', '食鹽', '香辛料', '肉桂', '薑', '丁香', '肉豆蔻', '芥末', '月桂葉', '眾香子', '培根', '豬肉(丹麥)', '亞硝酸鹽', '多磷酸鈉', 'L-麩酸鈉', '抗壞血酸鈉', '菸鹼醯胺', '黑胡椒醬', '蠔油', '蠔汁', '焦糖色素', '蒜頭']"
c31_增雞蛋白餐,name,增雞蛋白質餐,增雞蛋白餐
c31_增雞蛋白餐,manufacturer,統一超食代(股)公司台北廠,統一超食代(股)公司
c31_增雞蛋白餐,allergy_warning,本產品含麩質之穀物、大豆、奶類(來自墨西哥風味雞腿肉)、蛋、魚類、堅果類(來自香料)、芝麻(來自香料)及其製品,本產品會麩質之穀物、大豆、奶類(來自墨西哥風味雞腿肉)、蛋、魚類、堅果類(來自香料)、芝麻(來自香料)及其製品
c31_增雞蛋白餐,ingredients_list,"['水', '白米', '豆腐', '高麗菜', '義式香料風味雞胸肉', '雞蛋', '墨西哥風味雞腿肉', '糙米', '黑糯米', '珍珠大麥', '蕎麥', '小米', '麥片', '燕麥粒', '紅扁豆', '大豆油', '蔥', '紅蘿蔔', 'D-木糖', '醬油', '蒜', '澱粉', '炊飯油', '鹽', '複方品質改良劑', '糖', '醋', '複方調味劑', '柴魚風味調味料', '香料', '雞風味粉', '複方著色劑', '洋香菜']","['水', '白米', '豆腐', '高麗菜', '義式香料風味雞胸肉', '雞腿肉', '糯米', '黑糯米', '珍珠大麥', '蕎麥', '小麥', '麥片', '紅扁豆', '大豆油', '蔥', '紅蘿蔔', 'D-木糖', '醬油', '蒜', '糖', '碳酸鈣', '羥丙基磷酸二澱粉', '炊飯油', '鹽', '複方品質改良劑', '柴魚風味調味粉', '香菇', '雞風味調味粉', '複方著色劑', '洋香菜']"
c31_增雞蛋白餐,nutrition.sodium,318,90.0
c34_日式佛蒙特咖哩雞肉飯,manufacturer,聯華食品工業(股)公司基隆廠,聯華食品工業股份有限公司基隆廠
c34_日式佛蒙特咖哩雞肉飯,allergy_warning,本產品含麩質之穀物(來自甘口咖哩塊)、奶類(來自甘口咖哩塊)、芝麻(來自雞絞肉)、大豆(來自甘口咖哩塊)、魚類(來自甘口咖哩塊)及其製品,本產品含麩質之穀物(來自甘口咖哩塊)、奶類(來自甘口咖哩塊)、芝麻(來自炊飯用)、大豆(來自甘口咖哩塊)、魚類(來自甘口咖哩塊)及蛋製品。
c35_極饕-真飽經典麻醬涼麵,name,極饗-真飽經典麻醬涼麵,真飽經典麻醬涼麵
c35_極饕-真飽經典麻醬涼麵,manufacturer,凱亞食品(股)公司,
c35_極饕-真飽經典麻醬涼麵,allergy_warning,本產品含麩質之穀物、大豆、蛋、芝麻及其製品。,"※蔬菜與熱量會因氣候季節微調※豆芽菜受溫度變化可能產生輕微氧化變褐反應為自然現象,敬請安心食用"
c35_極饕-真飽經典麻醬涼麵,ingredients_list,"['麵條(麵粉, 粘稠劑(羥丙基磷酸二澱粉, 氧化澱粉), 水, 小麥蛋白, 鹽, 丙二醇, 複方乳化劑(芥花油, D-山梨醇液70%, 丙二醇, 大豆卵磷脂, 脂肪酸聚合甘油酯, 抗氧化劑(混合濃縮生育醇)), 品質改良劑(碳酸鈉(無水), 碳酸鉀)), 蛋白粉(麥芽糊精, 蛋白粉, 小麥纖維, 貝殼鈣), 黃梔子色彩(麥芽糊精, 黃梔子色彩)', '醬油包(水, 醬油, 醋, 糖, 味醂(轉化液糖(糖, 水), 酒精, 鹽, 糯米), 鹽, 蒜泥(蒜, 水, 醋, 鹽, 酒精, 葡萄糖, 乙烯二胺四醋酸二鈉鈣, 香料), 香料), 焦糖色彩, 調味料(麥芽糊精, 酵母抽出物(酵母抽出物, 糊精, 葵花籽油), 葡萄糖, 鹽, 蔬菜粉(甘草抽出物, 麥芽糊精)), 酵母抽出物, 甜味劑(甘草萃))', '麻醬包(芥花油, 芝麻醬, 葡萄糖, 小麥纖維, 芝麻油, 香料(芝麻油, 香料))', '小黃瓜', '綠豆芽', '大豆油', '鬆麵油(油菜籽油, 脂肪酸甘油酯, 卵磷脂)', '複方品質改良劑(醋酸鈉(無水), 甘胺酸, 檸檬酸)', '鹽']",[]
c37_爆蛋流心豬肉堡,manufacturer,聯華食品工業(股)公司基隆廠,聯華食品工業股份有限公司基隆廠
c37_爆蛋流心豬肉堡,allergy_warning,本產品含麩質之穀物、奶類、蛋、大豆及其製品,本產品含麩質之穀物、牛奶、蛋、大豆及其製品。
