case_id,field,gt,pred
c09_麻婆豆腐燴飯,ingredients_list,"['水', '豆腐', '白米', '豬肉', '醬油', ""辣豆瓣醬(辣椒, 黃豆, 蠶豆, 鹽, 糖, 芝麻油, 大豆油, 麵粉, 5'-次黃嘌呤核苷磷酸二鈉, 5'-鳥嘌呤核苷磷酸二鈉, 甜味劑(甘草酸鈉), 八角)"", '澱粉', '蒜', '糖', '大豆油', '豬骨高湯(豬肉, 豬骨, 洋蔥, 香芹)', '花椒辣油(大豆油, 花椒, 辣椒, 辣椒抽出物)', '陳年豆瓣醬(黃豆, 蠶豆, 鹽, 糖, 麵粉, 八角)', '芥花油', '明膠', '蔥', '雞汁(鹽, 雞肉, 糖, 軟質棕櫚油, 雞油, 麥芽糊精, 澱粉, 甜味劑(甘草酸鈉))', '醋', '品質改良劑(醋酸鈉(無水), 甘胺酸, 檸檬酸)', '調味料(麥芽糊精, 鹽, 糖, 酵母抽出物, 水解大豆蛋白, 香菇抽出物, 高麗菜抽出物)', '鹽', '芥花油', '紅椒色素', '調味料(中鏈三酸甘油酯, 麥芽糊精, 花椒, 辣椒抽出物, 鹽, D-木糖)', '調味粉(花椒, 澱粉)', '花椒萃取物']","['水', '豆腐', '白米', '豬肉', '醬油', '辣豆瓣醬', '辣椒', '黃豆', '蠶豆', '鹽', '糖', '芝麻油', '大豆油', '麵粉', ""5'-次黃嘌呤核苷磷酸二鈉"", ""5'-鳥嘌呤核苷磷酸二鈉"", '甜味劑(甘草酸鈉)', '八角', '澱粉', '蒜', '豬骨高湯', '洋蔥', '香芹', '花椒辣油', '花椒', '辣椒', '辣椒抽出物', '陳年豆瓣醬', '芥花油', '明膠', '蔥', '雞汁', '軟質棕櫚油', '雞油', '麥芽糊精', '品質改良劑(醋酸鈉)', '甘胺酸', '檸檬酸', '調味料', '酵母抽出物', '水解大豆蛋白', '香菇抽出物', '高麗菜抽出物', '紅椒色素', '中鏈三酸甘油酯', 'D-木醣', '調味粉', '花椒萃取物']"
c10_鮮蔬烤雞三明治,name,紐奧良風味鮮蔬烤雞三明治,紐奧良風味鮮嫩雞腿二明治
c10_鮮蔬烤雞三明治,ingredients_list,"[""雞肉{雞肉, 糖, 辣椒, 蒜, 蔥, 胡椒, 奧勒岡葉, 百里香, 五香, 麵粉, 鹽, 卵磷脂, 甘胺酸, 5'-鳥嘌呤核苷磷酸二鈉, 5'-次黃嘌呤核苷磷酸二鈉, 紅椒色素, 甜味劑(醋磺內酯鉀), DL-丙胺酸, 蛋白粉, 芥花油, 麥芽糊精, 甘蔗多酚萃取物}"", '土司', '蘿蔓', '沙拉醬{菜籽油, 醋, 雞蛋, 麥芽糖, 味精, 芥末}', '墨西哥紅醬{蕃茄糊, 墨西哥椒, 洋蔥, 蒜粉, 辣椒萃取物, 羅望子膠}', '大豆油']","['雞肉', '糖', '辣椒', '蒜', '蔥', '胡椒', '奧勒岡葉', '百里香', '五香', '麵粉', '鹽', '卵磷脂', '甘胺酸', '5-次黃嘌呤核苷磷酸二鈉', ""5'-次鳥嘌呤核苷磷酸二鈉"", '紅椒色素', '甜味劑(醋磺內酯鉀)', 'DL-丙胺酸', '蛋白粉', '芥花油', '麥芽糊精', '甘蔗多酚萃取物', '土司', '蘿蔓', '沙拉醬', '芥籽油', '醋', '雞蛋', '麥芽糖漿', '味精', '芥末', '墨西哥紅醬', '番茄糊', '墨西哥椒', '洋蔥', '蒜粉', '辣椒萃取物', '羅望子膠', '大豆油']"
c11_大飯糰椒香鮪魚,manufacturer,屏榮食品(股)桃園市大溪區新光東路76巷36-2號,屏榮食品(股)
c11_大飯糰椒香鮪魚,ingredients_list,"['水', '米', '正鰹', '洋蔥', '大豆油', '西洋芹', '鹽', '海苔', '雞蛋', '菜籽油', '黃豆纖維', '馬鈴薯粉', '醋', '糖', '乙醯化己二酸二澱粉', '小麥麩皮粉', '醬油', '黑胡椒粒', '葵花油', '花椒', '藤椒', '糊精', '辣椒', '胡椒', '果糖', '澱粉', '乳糖', '柴魚粉', '檸檬酸', '海藻糖', '混合濃縮生育醇(抗氧化劑)', '三仙膠', '關華豆膠', ""5'-次黃嘌呤核苷磷酸二鈉"", ""5'-鳥嘌呤核苷磷酸二鈉"", '琥珀酸二鈉', '萃取物(魚、胡蘿蔔、豌豆、花椒、辣椒、芥子)', '茶枝', '八角', '當歸', '醋酸鈉(無水)', '甘胺酸', '蛋白溶菌酶']","['水', '米', '正鰹', '沙拉油', '大豆油', '西洋芹', '鹽', '海苔', '雞蛋', '菜籽油', '黃豆纖維', '馬鈴薯粉', '蔥', '糖', '乙醯化己二酸二澱粉', '小麥麩皮粉', '醬油', '黑胡椒粒', '芥花油', '花椒', '藤椒', '糊精', '辣椒', '胡椒', '果糖', '澱粉', '乳糖', '柴魚粉', '檸檬酸', '海藻糖', '混合濃縮生育醇 (抗氧化劑)', '三仙膠', '關華豆膠', ""5'-次黃嘌呤核苷磷酸二鈉"", ""5'-鳥嘌呤核苷磷酸二鈉"", '琥珀酸二鈉', '萃取物(魚、胡蘿蔔、豌豆、花椒、辣椒、芹子)', '茶枝', '八角', '當歸', '醋酸鈉(無水)', '甘胺酸', '蛋白溶菌酶']"
c12_肉鬆御飯糰,name,肉鬆飯糰,FamilyMart 肉鬆飯糰
c12_肉鬆御飯糰,manufacturer,屏榮食品(股)桃園市大溪區松樹21-8號,屏榮食品(股)
c12_肉鬆御飯糰,ingredients_list,"['米', '肉鬆(豬肉、豌豆粉、糖、鹽、大豆油、醬油、芝麻、麵包粉、紅麴粉)', '美奶滋(沙拉油、蔗糖、蛋、鹽、醋、玉米糖膠、柑橘果膠)', '豬油', '海苔', '海鹽', '醋']","['米', '肉鬆(豬肉、豌豆粉、糖、鹽、大豆油、醬油、芝麻、麵包粉、紅麴粉)', '美乃滋(沙拉油、蔗糖、蛋、鹽、醋、玉米糖膠、柑橘果膠)', '豬油', '海苔', '海鹽', '醋']"
c14_鮮乳,name,瑞穗極制低溫殺菌鮮乳,瑞穗極製低溫殺菌鮮乳
c15_木瓜牛乳,allergy_warning,本產品含牛奶製品及種子類製品，該生產線亦生產含麩質之穀物及大豆製品。,本產品含牛乳製品及種子類製品，該生產線亦生產含麩質之穀物及大豆製品。
c15_木瓜牛乳,ingredients_list,"['水', '濃縮木瓜汁', '蔗糖', '全脂乳粉', '脫脂乳粉', '鮮乳油', '羧甲基纖維素鈉', '小蘇打', '香料', '脂肪酸甘油酯', '複方β-胡蘿蔔素(甘油、水、β-胡蘿蔔素、抗氧化劑(L-抗壞血酸棕櫚酸酯、維生素E)、葵花卵磷脂)']","['水', '濃縮木瓜汁', '蔗糖', '全脂乳粉', '脫脂乳粉', '鮮乳油', '羧甲基纖維素鈉', '小蘇打', '香料', '脂肪酸甘油酯', '複方β-胡蘿蔔素(甘油、水、β-胡蘿蔔素、抗氧化劑(L-抗壞血酸棕櫚酸酯、維生素E))', '葵花卵磷脂']"
c17_三合一咖啡,brand,貝納頌,Bernachon
c17_三合一咖啡,ingredients_list,"['奶精(葡萄糖漿、氫化棕櫚仁油、乾酪素鈉、檸檬酸鉀、脂肪酸甘油酯、二氧化矽)', '砂糖', '咖啡粉', '香料', '小蘇打']","['奶精', '葡萄糖漿', '氫化棕櫚仁油', '乾酪素鈉', '檸檬酸鉀', '脂肪酸甘油酯', '二氧化矽', '砂糖', '咖啡粉', '香料', '小蘇打']"
c18_蝦味先原味,name,蝦味先原味,餅味先原味
c18_蝦味先原味,brand,蝦味先,福樂食品
c18_蝦味先原味,manufacturer,裕榮食品股份有限公司,福樂食品
c18_蝦味先原味,ingredients_list,"['麵粉', '棕櫚油', '玉米澱粉', '樹薯澱粉', '糖', '全蝦', '馬鈴薯澱粉', '鹽', ""調味劑(L-麩酸鈉、5'-次黃嘌呤核苷磷酸二鈉、5'-鳥嘌呤核苷磷酸二鈉、L-天門冬酸鈉、胺基乙酸、DL-胺基丙酸、琥珀酸二鈉)"", '膨脹劑(碳酸氫鈉、碳酸氫銨、酒石酸氫鉀)', '碳酸鈉', '酸性焦磷酸鈉', '甘草萃(甜味劑)']","['麵粉', '棕櫚油', '玉米澱粉', '樹薯澱粉', '糖', '全蝦', '馬鈴薯澱粉', '鹽', 'L-麩酸鈉', ""5'-次黃嘌呤核苷磷酸二鈉"", ""5'-鳥嘌呤核苷磷酸二鈉"", 'L-天門冬酸鈉', '胺基乙酸', 'DL-胺基丙酸', '琥珀酸二鈉', '碳酸氫鈉', '碳酸氫銨', '酒石酸氫鉀', '碳酸鈉', '酸性焦磷酸鈉', '甘草']"
c19_經典原味洋芋片,brand,樂事,Lay's 樂事
c19_經典原味洋芋片,ingredients_list,"['馬鈴薯', '棕櫚油', '食鹽', ""調味劑(味精、5'-次黃嘌呤核苷磷酸二鈉、5'-鳥嘌呤核苷磷酸二鈉)"", '二氧化矽']","['馬鈴薯', '棕櫚油', '食鹽', '味精', ""5'-次黃嘌呤核苷磷酸二鈉"", ""5'-鳥嘌呤核苷磷酸二鈉"", '二氧化矽']"
c20_海苔洋芋片,name,樂事九州岩燒海苔風味洋芋片,樂事九州岩燒海苔口味洋芋片
c20_海苔洋芋片,brand,樂事,Lay's 樂事
c20_海苔洋芋片,allergy_warning,本產品含有奶類、含麩質之穀物、大豆、魚類及其製品,本產品含有牛奶、含麩質之穀物、大豆、芝麻及其製品。
c20_海苔洋芋片,ingredients_list,"['馬鈴薯', '棕櫚油', ""海苔粉[麥芽糊精、食鹽、味精、海苔細片、蒜粉、辣椒粉、二氧化矽、乳化劑(脂肪酸甘油酯)、調味劑(5'-次黃嘌呤核苷磷酸二鈉、5'-鳥嘌呤核苷磷酸二鈉)]"", '香料(香料、醋酸、胺基乙酸、糖、二氧化矽、全脂奶粉)']","['馬鈴薯', '棕櫚油', '海苔粉(麥芽糊精、食鹽、味精、海苔細片、蒜粉、辣椒粉、二氧化矽、乳化劑(脂肪酸甘油酯))', ""調味劑(5'-次黃嘌呤核苷磷酸二鈉、5'-鳥嘌呤核苷磷酸二鈉)"", '香料(香料、醋酸、胺基乙酸)', '糖', '二氧化矽', '全脂奶粉']"
c21_Pockey百奇草莓棒,brand,Pocky百奇,Glico
c21_Pockey百奇草莓棒,manufacturer,"THAI GLICO CO., LTD. (Bangkadi)","泰國Glico Co., Ltd. (Bangkhadi)"
c21_Pockey百奇草莓棒,allergy_warning,本產品含有含麩質之穀物、牛奶、大豆及其製品，不適合對其過敏體質者食用。本產品生產製程廠房，其設備或生產管線有處理芒果、堅果類及其製品。,過敏原標示:本產品含有麩質之穀物、牛奶、大豆及其製品，不適合對其過敏體質者食用。本產品生產製程廠房，其設備或生產管線有處理芒果、堅果類及其製品。
c22_UNCLELEMON蜂蜜檸檬風味膠囊,name,UNCLE LEMON蜂蜜檸檬風味膠囊,UNLE LEMON 蜂蜜檸檬風味膠囊
c22_UNCLELEMON蜂蜜檸檬風味膠囊,brand,UNCLE LEMON,UNLE LEMON
c23_in果凍,brand,in果凍,in
c23_in果凍,allergy_warning,本產品生產設備亦生產含牛奶、大豆類等相關產品。,本產品生產設備亦生產含牛奶、大豆等相關產品。
c23_in果凍,ingredients_list,"['水', '蔗糖', '異麥芽糊精', '甜味劑(赤藻糖醇、醋磺內酯鉀、蔗糖素)', '乳酸鈣', '紅葡萄果汁', '硫酸鎂', '胺基乙酸', 'DL-蘋果酸', '香料(含醋酸、甘油)', '檸檬酸', '結蘭膠', '三仙膠', '氯化鉀', '葡萄糖酸鋅', '葡甘露聚糖', '焦磷酸鐵(含澱粉水解物、氯化鈉、卵磷脂)', '檸檬酸鈉', '矽樹脂', '糊精', '葡萄糖酸銅']","['水', '蔗糖', '果寡醣精', '甜味劑(赤藻糖醇、檸檬內酯鉀、蔗糖素)', '乳酸鈣', '紅葡萄果汁', '碳酸鎂', '胺基乙酸', 'DL-蘋果酸', '香料(含醋酸、甘油)', '檸檬酸', '海藻糖', '三仙膠', '氯化鉀', '葡萄糖酸鋅', '葡萄糖酸鎂', '焦磷酸鐵(含澱粉水解物、氯化鈉、卵磷脂)', '檸檬酸鈉', '矽樹脂', '糊精', '葡萄糖酸銅']"
c24_優質蛋白奶-堅果杏仁,name,in果凍(綜合礦物質),優質蛋白奶 堅果杏仁風味
c24_優質蛋白奶-堅果杏仁,brand,in果凍,光泉
c24_優質蛋白奶-堅果杏仁,manufacturer,台灣森永製菓股份有限公司,光泉牧場股份有限公司
c24_優質蛋白奶-堅果杏仁,allergy_warning,本產品生產設備亦生產含牛奶、大豆類等相關產品。,"過敏原資訊:本產品含有花生、堅果類、含麩質之穀物及大豆製品,對於過敏者不宜食用。該產線亦生產含蛋、花生、芒果、牛奶、羊奶、堅果類、含麩質之穀物及大豆製品。"
c24_優質蛋白奶-堅果杏仁,ingredients_list,"['水', '蔗糖', '異麥芽糊精', '甜味劑(赤藻糖醇、醋磺內酯鉀、蔗糖素)', '乳酸鈣', '紅葡萄果汁', '硫酸鎂', '胺基乙酸', 'DL-蘋果酸', '香料(含醋酸、甘油)', '檸檬酸', '結蘭膠', '三仙膠', '氯化鉀', '葡萄糖酸鋅', '葡甘露聚糖', '焦磷酸鐵(含澱粉水解物、氯化鈉、卵磷脂)', '檸檬酸鈉', '矽樹脂', '糊精', '葡萄糖酸銅']","['水', '非基因改造黃豆', '蔗糖', '花生醬(特選花生)', '杏仁醬(杏仁果)', '大豆蛋白(含大豆卵磷脂)', '燕麥粉', '香料', '脂肪酸甘油酯(含檸檬酸)', '食鹽', '維生素E抗氧化劑']"
c24_優質蛋白奶-堅果杏仁,nutrition.calories,22,63.0
c24_優質蛋白奶-堅果杏仁,nutrition.protein,0,3.8
c24_優質蛋白奶-堅果杏仁,nutrition.fat,0,3.9
c24_優質蛋白奶-堅果杏仁,nutrition.carbohydrates,8.1,6.1
c24_優質蛋白奶-堅果杏仁,nutrition.sugar,4.5,5.7
c24_優質蛋白奶-堅果杏仁,nutrition.sodium,6,26.0
c24_優質蛋白奶-堅果杏仁,per_serving.calories,39,236.6
c24_優質蛋白奶-堅果杏仁,per_serving.protein,0,14.3
c24_優質蛋白奶-堅果杏仁,per_serving.fat,0,14.6
c24_優質蛋白奶-堅果杏仁,per_serving.saturated_fat,0,1.5
c24_優質蛋白奶-堅果杏仁,per_serving.carbohydrates,14.6,22.9
c24_優質蛋白奶-堅果杏仁,per_serving.sugar,8.1,21.4
c24_優質蛋白奶-堅果杏仁,per_serving.sodium,11,96.0
c25_優質蛋白奶-無加糖燕麥,name,優質蛋白奶-無加糖燕麥,優質蛋白奶
c25_優質蛋白奶-無加糖燕麥,allergy_warning,本產品含麩質之穀物及大豆製品，對其過敏者不宜食用。該生產線亦生產含芒果、花生、芝麻、牛奶、蛋、堅果類、含麩質之穀物及大豆製品。,本產品含麩質之穀物及大豆製品。對花生、牛奶、蛋、堅果過敏者請留意。
c25_優質蛋白奶-無加糖燕麥,ingredients_list,"['水', '非基因改造黃豆', '燕麥粉', '大豆蛋白(含大豆卵磷脂)', '米蛋白', '豌豆蛋白', '香料']","['水', '非基因改造黃豆', '燕麥粉', '大豆蛋白(含大豆卵磷脂)', '蛋白', '豌豆蛋白', '香料']"
c26_冰鎮芭樂綠茶,name,冰鎮芭樂綠茶,泰山冰鎮芭樂綠茶
c26_冰鎮芭樂綠茶,brand,冰鎮,泰山
c26_冰鎮芭樂綠茶,manufacturer,泰山企業股份有限公司,泰山企業股份公司
c26_冰鎮芭樂綠茶,allergy_warning,該生產線亦生產含堅果類、大豆、奶類、含麩質之穀物及其製品,
c26_冰鎮芭樂綠茶,ingredients_list,"['水', '蔗糖', '芭樂汁', '綠茶', '檸檬酸', '香料', '羧甲基纖維素鈉', '維他命C(抗氧化劑)']","['水', '蔗糖', '芭樂原汁', '綠茶', '檸檬酸', '香料', '羧甲基纖維素鈉', '維生素C(抗氧化劑)']"
c27_冰鎮葡萄鮮冰茶,name,冰鎮葡萄鮮冰茶,泰山冰鎮葡萄鮮冰茶
c27_冰鎮葡萄鮮冰茶,brand,冰鎮,泰山
c27_冰鎮葡萄鮮冰茶,allergy_warning,該生產線亦生產含堅果類、大豆、奶類、含麩質之穀物及其製品,"本產品生產製程廠房,其設備或生產管線有處理芒果、大豆、牛奶類、花生與穀物及其製品,對其過敏體質者請避免飲用"
c28_北海鱈魚香絲,brand,北海,有豐食品
c28_北海鱈魚香絲,allergy_warning,本產品含有魚類、含麩質之穀物及大豆製品，不適合其過敏體質者食用 ※本產品使用的原料魚漿其生產過程可能有甲殼類存在，食物過敏者請留意,"過敏原資訊:本產品含有魚類、含麩質之穀物及大豆製品，不適合其過敏體質者食用
本產品使用的原料魚漿與生產過程可能含有甲殼類存在，食物過敏者請留意"
c28_北海鱈魚香絲,ingredients_list,"['魚漿(含鱈魚)', '樹薯澱粉', 'D-山梨醇液70%(甜味劑)', '砂糖', '鹽(鹽、氯化鉀、麵粉)', '醬油', 'L-麩酸鈉', '辣椒粉', '水解蛋白(豬皮明膠、大豆)', '甘胺酸', ""5'-次黃嘌呤核苷磷酸二鈉"", ""5'-鳥嘌呤核苷磷酸二鈉"", '琥珀酸二鈉', '辣椒膏(樹薯澱粉、紅辣椒萃取物、乙醇、D-山梨醇、脂肪酸蔗糖酯)', 'DL-胺基丙酸', '乙基麥芽醇']","['魚漿(鱈魚)', '小麥麵粉', 'D-山梨醇液70%(甜味劑)', '砂糖', '鹽', '醋', '麥芽糊精', '味精', '辣椒', '水解植物蛋白', '食用色素(紅色六號、黃色五號)', '5′-次黃嘌呤核苷磷酸二鈉', '5′-鳥嘌呤核苷磷酸二鈉', '琥珀酸二鈉', '肉桂', '己二烯酸鉀(防腐劑)', '甜味劑(甘草酸鈉、紐甜)']"
c28_北海鱈魚香絲,nutrition.calories,330.8,393.4
c28_北海鱈魚香絲,nutrition.fat,1.6,0.8
c28_北海鱈魚香絲,nutrition.carbohydrates,55.1,72.0
c28_北海鱈魚香絲,per_serving.calories,79.4,95.2
c28_北海鱈魚香絲,per_serving.carbohydrates,13.2,17.4
c29_可口可樂,name,可口可樂汽水,可口可樂 Coca-Cola Original Taste
c29_可口可樂,brand,可口可樂,Coca-Cola
c29_可口可樂,manufacturer,英屬維京群島商太古可口可樂股份有限公司台灣分公司,可口可樂股份有限公司
c30_吉士豬肉堡加蛋,name,吉士豬肉堡加蛋,古士豬肉堡加蛋
c30_吉士豬肉堡加蛋,brand,7-ELEVEN,Simple-Fit
c30_吉士豬肉堡加蛋,manufacturer,聯華食品工業(股)公司基隆廠,統一超商股份有限公司
c30_吉士豬肉堡加蛋,allergy_warning,本產品含麩質之穀物、奶類、蛋、大豆及其製品,本產品含麩質之穀物、奶類、蛋、大豆及其製品;豬原料來源: 加拿大
c30_吉士豬肉堡加蛋,ingredients_list,"['馬芬堡(麵粉, 玉米粉, 酵母, 糖, 鹽, 棕櫚油, 黃豆粉, 大豆油脂, 葵花油, 澱粉酵素)', ""豬肉餅[重組肉](豬肉, 雞肉, 水, 組織蛋白(小麥蛋白, 麵粉), 香草調味粉(鹽, 麥芽糊精, 香辛料{鼠尾草, 奧勒岡草, 辣椒, 胡椒}, 葡萄糖, 糖, 5'-次黃嘌呤核苷磷酸二鈉, 5'-鳥嘌呤核苷磷酸二鈉, 檸檬酸, 香料(豆蔻油, 芹菜香料{芹菜, 香料}), 辣椒糖{紅椒萃取物, 香料}), 紅椒油樹脂(紅椒油樹脂, 葵花油), 大豆油), 小麥纖維, 焦糖色彩, 柑橘纖維, 糖, 調味料{酵母抽出物, 柑橘抽出物})"", '雞蛋', '起司', '大豆油', '麵粉', '鹽', '複方品質改良劑{醋酸鈉(無水), 鹽, 檸檬酸, 偏磷酸鈉, 多磷酸鈉}']","['麵包', '豬肉漢堡肉', '蛋', '起司片', '沙拉醬', '紅醬', '黑胡椒醬汁']"
c30_吉士豬肉堡加蛋,nutrition.protein,12.5,11.2
c30_吉士豬肉堡加蛋,nutrition.sugar,0.9,3.7
c30_吉士豬肉堡加蛋,per_serving.protein,14.9,13.3
c30_吉士豬肉堡加蛋,per_serving.sugar,1.1,4.4
c31_增雞蛋白餐,name,增雞蛋白質餐,增雞蛋白餐
c31_增雞蛋白餐,manufacturer,統一超食代(股)公司台北廠,統一超商股份有限公司
c31_增雞蛋白餐,allergy_warning,本產品含麩質之穀物、大豆、奶類(來自墨西哥風味雞腿肉)、蛋、魚類、堅果類(來自香料)、芝麻(來自香料)及其製品,本產品含有麩質之穀物、大豆、牛奶(來自墨西哥風味雞肉)、蛋、魚類、堅果類(來自香料)、芝麻(來自香料)及其製品
c31_增雞蛋白餐,ingredients_list,"['水', '白米', '豆腐', '高麗菜', '義式香料風味雞胸肉', '雞蛋', '墨西哥風味雞腿肉', '糙米', '黑糯米', '珍珠大麥', '蕎麥', '小米', '麥片', '燕麥粒', '紅扁豆', '大豆油', '蔥', '紅蘿蔔', 'D-木糖', '醬油', '蒜', '澱粉', '炊飯油', '鹽', '複方品質改良劑', '糖', '醋', '複方調味劑', '柴魚風味調味料', '香料', '雞風味粉', '複方著色劑', '洋香菜']","['米', '水', '雞胸肉', '紅藜麥', '雞蛋', '紅蘿蔔', 'D-木糖', '醋', '沙拉油', '薑', '醬油', '酵母抽出物', '碳酸鈣', '樹薯澱粉', '雞肉粉', '洋蔥粉', '辣椒粉', '肉桂', '丁香', '芹菜', '豆蔻', '乳糖', '麥芽糊精', '雞油', '鹽', '麵粉', '乙醯化己二酸二澱粉', '蒜', '雞肉抽出物', '大豆蛋白', '玉米澱粉', '洋蔥濃縮汁', '香菇', '黑胡椒', '高麗菜', '大豆油', '甜味劑(D-山梨醇液70%)', '胺基乙酸', 'DL-胺基丙酸', '水解大豆蛋白', '琥珀酸二鈉', '葡萄糖', '檸檬酸鈉', ""5'-次黃嘌呤核苷磷酸二鈉"", ""5'-鳥嘌呤核苷磷酸二鈉"", '脂肪酸蔗糖酯', '品質改良劑(多磷酸鈉、焦磷酸鈉、偏磷酸鈉、多磷酸鉀)', '香料', '膨脹劑(碳酸氫鈉、磷酸二氫鈣、碳酸鈣、玉米澱粉)', '蒜抽出物', '薑抽出物', '砂糖', '薑粉', '食用黃色五號', '食用紅色七號']"
c31_增雞蛋白餐,per_serving.trans_fat,0.0,0.7
c32_奧利奧捲心酥-巧克力口味,name,奧利奧捲心酥-巧克力口味,奧利奧夾心酥-巧克力口味
c32_奧利奧捲心酥-巧克力口味,brand,奧利奧,OREO
c32_奧利奧捲心酥-巧克力口味,allergy_warning,含有小麥和大豆。此生產線也生產含有牛奶的餅乾。,"過敏原資訊:含有小麥和大豆。
此生產線也生產含有牛奶的餅乾。"
c32_奧利奧捲心酥-巧克力口味,ingredients_list,"['砂糖', '麵粉', '非氫化植物油(棕櫚油, 軟質棕櫚油)', '可可粉', '麥芽糊精', '高果糖糖漿', '玉米澱粉', '葡萄糖', '食鹽', '香料', '大豆卵磷脂', '焦糖色彩']","['砂糖', '麵粉', '非氫化植物油(棕櫚油,軟質棕櫚油)', '可可粉', '麥芽糊精', '高果糖漿', '玉米澱粉', '葡萄糖', '食鹽', '香料', '大豆卵磷脂', '焦糖色素']"
c33_手摘果物-無籽梅肉,name,手摘果物 無籽梅肉,無籽梅肉
c33_手摘果物-無籽梅肉,brand,手摘果物,7-ELEVEN
c33_手摘果物-無籽梅肉,manufacturer,佳合企業有限公司,維合企業有限公司
c33_手摘果物-無籽梅肉,allergy_warning,本產品含阿斯巴甜，苯酮尿症患者不宜食用。,"※本產品含阿斯巴甜，苯酮尿症患者不宜食用。
※梅肉表面上的白色粉末，是鹽巴及甜味劑(例如糖粉)，請安心食用。"
c33_手摘果物-無籽梅肉,ingredients_list,"['梅肉', '食鹽', '蔗糖', '檸檬酸', '甜味劑(阿斯巴甜、蔗糖素、甜菊醣苷、甘草素、紐甜)', '香莢蘭酚', '香料']","['梅肉', '食鹽', '蔗糖', '檸檬酸', '甜味劑(阿斯巴甜)', '蔗糖素', '甜菊醣苷', '甘草素', '紐甜', '香莢蘭醛', '香料']"
c33_手摘果物-無籽梅肉,nutrition.sugar,4.1,0.7
c33_手摘果物-無籽梅肉,per_serving.sugar,0.7,0.1
c33_手摘果物-無籽梅肉,per_serving.sodium,1003.5,100.3
c34_日式佛蒙特咖哩雞肉飯,brand,7-ELEVEN,House 好侍 / 御弁当
c34_日式佛蒙特咖哩雞肉飯,manufacturer,聯華食品工業(股)公司基隆廠,統一超商股份有限公司
